Borough,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
BRONX,3,2013,All Students,15635,287,7979,51,5105,32.7,2393,15.3,158,1,2551,16.3
BRONX,3,2014,All Students,15647,285,8021,51.3,4949,31.6,2504,16,173,1.1,2677,17.1
BRONX,3,2015,All Students,15348,287,7540,49.1,5061,33,2469,16.1,278,1.8,2747,17.9
BRONX,3,2016,All Students,15291,298,5725,37.4,5437,35.6,3658,23.9,471,3.1,4129,27
BRONX,3,2017,All Students,14953,296,6028,40.3,4713,31.5,3764,25.2,448,3,4212,28.2
BRONX,3,2018,All Students,14787,593,3958,26.8,5419,36.6,4874,33,536,3.6,5410,36.6
BRONX,3,2019,All Students,14122,594,3200,22.7,5242,37.1,5075,35.9,605,4.3,5680,40.2
BRONX,4,2013,All Students,15254,285,7012,46,5946,39,1821,11.9,475,3.1,2296,15.1
BRONX,4,2014,All Students,14786,287,6627,44.8,5497,37.2,2085,14.1,577,3.9,2662,18
BRONX,4,2015,All Students,15428,287,6689,43.4,5960,38.6,2123,13.8,656,4.3,2779,18
BRONX,4,2016,All Students,15165,297,5049,33.3,5954,39.3,3051,20.1,1111,7.3,4162,27.4
BRONX,4,2017,All Students,15073,296,4955,32.9,5874,39,3015,20,1229,8.2,4244,28.2
BRONX,4,2018,All Students,14772,593,4281,29,5484,37.1,3461,23.4,1546,10.5,5007,33.9
BRONX,4,2019,All Students,14657,593,4329,29.5,5058,34.5,3805,26,1465,10,5270,36
BRONX,5,2013,All Students,14893,288,7190,48.3,5306,35.6,1935,13,462,3.1,2397,16.1
BRONX,5,2014,All Students,14543,286,7246,49.8,5062,34.8,1747,12,488,3.4,2235,15.4
BRONX,5,2015,All Students,14288,287,6825,47.8,5158,36.1,1747,12.2,558,3.9,2305,16.1
BRONX,5,2016,All Students,15033,287,7221,48,4748,31.6,2383,15.9,681,4.5,3064,20.4
BRONX,5,2017,All Students,14832,289,6799,45.8,4697,31.7,2385,16.1,951,6.4,3336,22.5
BRONX,5,2018,All Students,14934,594,6776,45.4,4549,30.5,2504,16.8,1105,7.4,3609,24.2
BRONX,5,2019,All Students,14396,594,6839,47.5,3700,25.7,2483,17.2,1374,9.5,3857,26.8
BRONX,6,2013,All Students,15077,282,7303,48.4,6040,40.1,1212,8,522,3.5,1734,11.5
BRONX,6,2014,All Students,14211,284,6049,42.6,6308,44.4,1196,8.4,658,4.6,1854,13
BRONX,6,2015,All Students,13844,287,5926,42.8,5677,41,1459,10.5,782,5.6,2241,16.2
BRONX,6,2016,All Students,13261,288,5172,39,5531,41.7,1822,13.7,736,5.6,2558,19.3
BRONX,6,2017,All Students,13960,287,5821,41.7,5497,39.4,1552,11.1,1090,7.8,2642,18.9
BRONX,6,2018,All Students,13928,593,5498,39.5,3598,25.8,2589,18.6,2243,16.1,4832,34.7
BRONX,6,2019,All Students,13840,591,5928,42.8,3354,24.2,2212,16,2346,17,4558,32.9
BRONX,7,2013,All Students,15225,283,7780,51.1,5444,35.8,1743,11.4,258,1.7,2001,13.1
BRONX,7,2014,All Students,14533,282,7426,51.1,5151,35.4,1739,12,217,1.5,1956,13.5
BRONX,7,2015,All Students,14187,283,7342,51.8,4799,33.8,1830,12.9,216,1.5,2046,14.4
BRONX,7,2016,All Students,13745,293,5152,37.5,5538,40.3,2377,17.3,678,4.9,3055,22.2
BRONX,7,2017,All Students,13349,298,3765,28.2,5908,44.3,2924,21.9,752,5.6,3676,27.5
BRONX,7,2018,All Students,14141,595,5173,36.6,5064,35.8,3068,21.7,836,5.9,3904,27.6
BRONX,7,2019,All Students,13798,593,5837,42.3,4200,30.4,2702,19.6,1059,7.7,3761,27.3
BRONX,8,2013,All Students,15265,279,7831,51.3,5437,35.6,1682,11,315,2.1,1997,13.1
BRONX,8,2014,All Students,14883,284,6378,42.9,6123,41.1,1963,13.2,419,2.8,2382,16
BRONX,8,2015,All Students,14355,286,5766,40.2,5865,40.9,2297,16,427,3,2724,19
BRONX,8,2016,All Students,13995,295,4295,30.7,5892,42.1,3009,21.5,799,5.7,3808,27.2
BRONX,8,2017,All Students,13715,300,3488,25.4,5395,39.3,3645,26.6,1187,8.7,4832,35.2
BRONX,8,2018,All Students,13636,595,3179,23.3,5383,39.5,3357,24.6,1717,12.6,5074,37.2
BRONX,8,2019,All Students,13983,595,3116,22.3,5685,40.7,3483,24.9,1699,12.2,5182,37.1
BRONX,All Grades,2013,All Students,91349,284,45095,49.4,33278,36.4,10786,11.8,2190,2.4,12976,14.2
BRONX,All Grades,2014,All Students,88603,285,41747,47.1,33090,37.3,11234,12.7,2532,2.9,13766,15.5
BRONX,All Grades,2015,All Students,87450,286,40088,45.8,32520,37.2,11925,13.6,2917,3.3,14842,17
BRONX,All Grades,2016,All Students,86490,293,32614,37.7,33100,38.3,16300,18.8,4476,5.2,20776,24
BRONX,All Grades,2017,All Students,85882,294,30856,35.9,32084,37.4,17285,20.1,5657,6.6,22942,26.7
BRONX,All Grades,2018,All Students,86198,594,28865,33.5,29497,34.2,19853,23,7983,9.3,27836,32.3
